corona,holyday,bok,vacation,temp,rain_ox,rain,subway,store,naver,youtube,thu,wed,mon,sun,sat,tue,mon2,mon3,mon4,mon5,mon6,mon7,mon8,mon9,mon10,mon11,mon12,rain1,rain2,rain3,order
0.0,0.0,0.0,0.0,3.4,0.0,0.0,127518.0,45.0,10.514944999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41
0.0,0.0,0.0,0.0,5.2,0.0,0.0,127150.0,45.0,6.678995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27
0.0,0.0,0.0,0.0,8.1,1.0,2.424802725718295,125540.0,45.0,12.888399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45
0.0,0.0,0.0,0.0,7.3,1.0,0.262364264467491,127819.0,45.0,14.116342000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56
0.0,0.0,0.0,0.0,7.3,0.0,0.0,92258.0,45.0,14.613675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60
0.0,0.0,0.0,0.0,8.3,0.0,0.0,85140.0,45.0,15.345320000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51
0.0,0.0,0.0,0.0,7.2,1.0,2.388762789235098,122085.0,45.0,13.105960000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,47
0.0,0.0,0.0,0.0,6.5,1.0,0.5306282510621704,122638.0,45.0,13.27941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39
0.0,0.0,0.0,0.0,0.6,1.0,1.33500106673234,122256.0,45.0,12.762360000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39
0.0,0.0,0.0,0.0,-2.7,0.0,0.0,126486.0,45.0,12.07985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46
0.0,0.0,0.0,0.0,-0.7,0.0,0.0,126420.0,45.0,15.078479999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50
0.0,0.0,0.0,0.0,1.8,0.0,0.0,92840.0,45.0,15.86701,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51
0.0,0.0,0.0,1.0,1.1,0.0,0.0,82354.0,45.0,14.2277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56
0.0,0.0,0.0,1.0,4.3,1.0,0.7884573603642702,119274.0,45.0,9.958491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24
0.0,0.0,0.0,1.0,3.5,1.0,0.09531017980432487,120095.0,45.0,9.919674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39
